# time,RO
-4.549999999999998490e-02,-6.341999999999999860e-01
6.940000000000001723e-02,-5.068000000000000282e-01
3.277999999999999803e-01,1.046500000000000069e-01
6.148000000000000131e-01,7.185500000000000220e-01
7.871000000000000218e-01,3.772999999999999687e-01
9.018999999999999240e-01,1.095849999999999991e+00
9.305999999999999828e-01,-2.026499999999999968e-01
1.189000000000000057e+00,1.591449999999999809e+00
1.447400000000000020e+00,1.848350000000000160e+00
1.677000000000000046e+00,1.038799999999999946e+00
1.820599999999999996e+00,1.877750000000000030e+00
2.222500000000000142e+00,2.500750000000000028e+00
2.279900000000000038e+00,1.677550000000000097e+00
2.337299999999999933e+00,1.090950000000000086e+00
2.509599999999999831e+00,3.947999999999999843e-01
2.653099999999999792e+00,9.975000000000000533e-01
2.882800000000000029e+00,1.606849999999999890e+00
3.083699999999999886e+00,2.213750000000000107e+00
3.198599999999999888e+00,1.395100000000000007e+00
3.370800000000000018e+00,4.627000000000000557e-01
3.629199999999999982e+00,8.378999999999999782e-01
3.772699999999999942e+00,1.396499999999999964e-01
3.858900000000000219e+00,7.378000000000000114e-01
4.002399999999999736e+00,6.307000000000000384e-01
4.203300000000000480e+00,6.468000000000000416e-01
4.432999999999999829e+00,1.256149999999999878e+00
4.605299999999999727e+00,5.600000000000000533e-01
4.720100000000000406e+00,1.396850000000000147e+00
4.834900000000000198e+00,4.599000000000000310e-01
4.892299999999999649e+00,1.098999999999999977e-01
5.121999999999999886e+00,1.277500000000000024e-01
5.179400000000000226e+00,-2.222500000000000031e-01
5.437800000000000189e+00,7.440999999999999837e-01
5.667500000000000426e+00,1.708000000000000185e+00
5.897100000000000009e+00,1.726200000000000179e+00
6.155499999999999972e+00,1.037050000000000027e+00
6.299000000000000377e+00,-1.575000000000000011e-02
6.471300000000000274e+00,8.253000000000000336e-01
